ASIGNATURA;SALON
ADMINISTRACION DE MEDICAMENTOS E INMUNOBIOLOGICOS;Cualquier Lab de Enfermería o Salón
ADMISION AL USUARIO II;Cualquier Lab de Enfermería o Salón
APOYO AL DIAGNOSTICO I;Cualquier Lab de Enfermería o Salón
APOYO AL DIAGNOSTICO II;Cualquier Lab de Enfermería
ASISTENCIA AL USUARIO I;Lab de Enfermería CIRUGIA
ASISTENCIA AL USUARIO II;Lab de Enfermería CIRUGIA
ATENCION INTEGRAL AL INDIVIDUO Y LA FAMILIA I;Cualquier Lab de Enfermería o Salón
ATENCION INTEGRAL AL INDIVIDUO Y LA FAMILIA II;Lab de Enfermería con el simulador de NOHELIA
ATENCION Y ORIENTACION AL USUARIO II;Cualquier Lab de Enfermería
COMPETENCIAS PRÁCTICAS;Lab de Enfermería con el simulador de MARIA JOSE
CONTROL DE INFECCIONES I;Lab de Enfermería o Salón con LAVAMANOS
CONTROL DE INFECCIONES II;Lab de Enfermería o Salón con LAVAMANOS
MANTENIMIENTO Y RECUPERACION DE LA SALUD I;Lab de Enfermería con el simulador de MARIA JOSE
MANTENIMIENTO Y RECUPERACION DE LA SALUD II;Lab de Enfermería con el simulador de MARIA JOSE
MANTENIMIENTO Y RECUPERACION DE LA SALUD III;Cualquier Lab de Enfermería o Salón
MANTENIMIENTO Y RECUPERACION DE LA SALUD IV;Cualquier Lab de Enfermería o Salón
