ASIGNATURA TL MECANICA;CICLO;SALÓN;;ASIGNATURA TL SALUD ORAL;CICLO;SALÓN
Aparatología en Ortodoncia I;2;Cualquier Laboratorio - Menos Ceramica;;APOYO AL DIAGNOSTICO I;1;Laboratorio Unidad dental - Salud Oral
Aparatología en Ortodoncia II;3;Cualquier Laboratorio - Menos Ceramica;;CONTROL DE INFECCIONES EN SALUD ORAL ;1;Laboratorio Unidad dental - Salud Oral
Implantología;5;Colados;;APOYO AL DIAGNOSTICO II;3;Laboratorio Unidad dental - Salud Oral
Práctica Protésica I;4;Colados;;CONTROL DE INFECCIONES EN SALUD ORAL II;3;Laboratorio Unidad dental - Salud Oral
Práctica Protésica II;5;Ceramica;;APOYO AL DIAGNOSTICO III;4;Laboratorio Unidad dental - Salud Oral
Principios de Prótesis Fija;2;Colados;;;;
Principos Físicoquímico;1;Cualquier Laboratorio;;;;
Prótesis Fija I;3;Colados;;;;
Prótesis Removible;4;Colados;;;;
Prótesis Total I;2;Colados - Yesos;;;;
Prótesis Total II;3;Yesos;;;;
Sistema Estomatogmático;1;Cualquier Laboratorio;;;;
Taller de encerado I;4;Ceramica;;;;
Taller de encerado II;5;Ceramica;;;;
