PLANTA;NOMBRE DE SALÓN;CAPACIDAD;IDENTIFICADOR UXII;OBSERVACIONES;;;;;;
Piso 1;COCINA 1-101-SEDE CALLE 73;25;COC 1;;;PISO 1;13;;;
Piso 1;COCINA 2-102-SEDE CALLE 73;25;COC 2;;;LABORATORIO HOSPITALIDAD;10;; TOTAL ESPACIOS ; # 
Piso 1;COCINA 3-103-SEDE CALLE 73;25;COC 3;;;LABORATORIO MODA;1;;Salas de Sistemas;6
Piso 1;COCINA 4-104-SEDE CALLE 73;25;COC 4;;;FLOTANTE;2;;Laboratorios Enfermería;7
Piso 1;COCINA 5-107-SEDE CALLE 73;25;COC 5;;;PISO 2;16;;Laboratorios Hospitalidad;10
Piso 1;MESA Y BAR-1 106  SEDE CALLE 73;16;MYB1;;;LABORATORIO SALUD;7;;Laboratorios Salud;8
Piso 1;MESA Y BAR-2 107-SEDE CALLE 73;20;MYB2;;;LABORATORIO SISTEMAS;5;;Salon;19
Piso 1;MESA Y BAR-3 113-SEDE CALLE 73;16;MYB3;;;LABORATORIO ENFERMERIA;1;;Laboratorio Ambiental;1
Piso 1;TALLER DE MODA 109-SEDE CALLE 73;30;109;EDU. CONTINUA, BARRA DE SONIDO;;SALON;2;;Laboratorio Modas;1
Piso 1;TALLER DE MODA 110-SEDE CALLE 73;30;110;;;BODEGA;1;;52;
Piso 1;COCINA GOURMET-SEDE CALLE 73;30;GOURMET;ECONOMATO;;PISO 3;12;;;
Piso 1;REPOSTERIA 1-111-SEDE CALLE 73;25;REP 1;;;LABORATORIO ENFERMERIA;6;;;
Piso 1;REPOSTERIA 2-105-SEDE CALLE 73;30;REP 2;"COCINA 6
POR SI SE NECESITA";;LABORATORIO SALUD;1;;;
Piso 2;LABORATORIO CERAMICA 1-201 SEDE CALLE 73;27;CERAMICA 1;;;SALON;4;;;
Piso 2;LABORATORIO CERAMICA 2-202 SEDE CALLE 73;15;CERAMICA 2;;;OFICINA;1;;;
Piso 2;LABORATORIO DE ORTODONCIA 203-SEDE CALLE 73;24;LAB 203;;;PISO 4;22;;13;13
Piso 2;LABORATORIO ACRILICOS 204-SEDE CALLE 73;43;ACRILICOS;;;LABORATORIO AMBIENTAL;1;;16;13
Piso 2;LABORATORIO YESOS 205-SEDE CALLE 73;48;YESOS;;;LABORATORIO SISTEMAS;1;;12;7
Piso 2;LABORATORIO DE METALURGIA 206-SEDE CALLE 73;23;META;;;SALON;13;;22;15
Piso 2;LABORATORIO DE COLADOS 207-SEDE CALLE 73;11;COLADOS;BODEGA;;FLOTANTE;5;;;
Piso 2;SALON 208-SEDE CALLE 73;0;208;BODEGA BIENESTAR UNIVERSITARIO;;OFICINA;2;;;48
Piso 2;SALA DE SISTEMAS SOFT 209-SEDE CALLE 73;15;INF 209;1 VIDEO BEAM, 15 PORTATILES;;;;;;
Piso 2;SALA DE SISTEMAS SOFT 210-SEDE CALLE 73;15;INF 210;VIDEO BEAM 15 PORTATILES;;;;;;
Piso 2;SALA DE SISTEMAS SOFT 211-SEDE CALLE 73;20;INF 211;VIDEO BEAM 20 PORTATILES;;;;;;
Piso 2;SALA DE SISTEMAS SOFT 213-SEDE CALLE 73;15;INF 213;VIDEO BEAM 15 PORTATILES;;;;;;
Piso 2;BIBLIOTECA-SEDE CALLE 73;16;BIBLIO;VIDEO BEAM;;;;;;
Piso 2;SALON 212 SEDE CALLE 73;12;212;;;;;;;
Piso 2;SALA DE SISTEMAS SOFT 214 SEDE CALLE 73;21;INF 214;VIDEO BEAM, 21 PORTATILES ;;;;;;
Piso 2;SALON 215-SEDE CALLE 73;0;215;BODEGA, RYC;;;;;;
Piso 2;LABORATORIO MULTIFUNCIONAL -216-SEDE CALLE 73;20;MULTI;FLOTANTE;;;;;;
Piso 3;SALON DE ENFERMERIA 2-301-SEDE CALLE 73;29;ENFE 2;CAMILLA, MESA AUXILIAR ENFE;;;;;;
Piso 3;SALON DE ENFERMERIA 3-302-SEDE CALLE 73;31;ENFE 3;VIDEO BEAM;;;;;;
Piso 3;SALON DE ENFERMERIA 4-303-SEDE CALLE 73;32;ENFE 4;VIDEO BEAM, CAMILLA, ESQUELETO HUMANO, SIMULADORES 2;;;;;;
Piso 3;SALON DE ENFERMERIA 5-304-SEDE CALLE 73;24;ENFE 5;VIDEO BEAM, CAMILLA, MESA AUXILIAR ENFE;;;;;;
