PLANTA;NOMBRE DE SALÓN;CAPACIDAD;IDENTIFICADOR UXII;OBSERVACIONES;;;;;;;;
Piso 1;Cocina 1 - 102;25;COC 1;;;;;;;;;
;Cocina 2 - 103;25;COC 2;;;;;;;;;
Piso 2;Reposteria 1 - 202;25;REP 1;;;;;;;;;
;Reposteria 2 - 203;20;REP 2;;;;;;;;;
;Cocina 3 - 205;20;COC 3;;;;;;;;;
;Cocina 4 - 206;30;COC 4;;;;;;;;;
Piso 3;Sala De Sistemas Soft 302;15;INF 302;;;;;;;;;
;Sala De Sistemas Soft 303;18;INF 303;;;;;;;;;
;Salón 304;10;304;;;;;;;;;
;Mesa Y Bar 3 - 307;15;MYB3;;;;;;;;;
;Mesa Y Bar 2 - 308;25;MYB2;;;;;;;;;
Piso 4;Salón 401;10;401;Sala de docentes;;;;;;;;
;Laboratorio Mecanica Dental 402;20;LAB 402;;;;;;;;;
;Laboratorio Yesos 403;20;YESOS;;;;;;;;;
;Laboratorio Salud Oral 404;8;LAB 404;Salud Oral ;;;;;;;;
;Laboratorio De Metalurgia 408;20;META;;;;;;;;;
;Laboratorio De Ceramica 409;20;CERAMICA;;;;;;;;;
;Salón 410;25;410;Camara;;;;;;;;
Piso 5;Salón 501;13;501;;;;;;;;;
;Salón 502;25;502;;;;;;;;;
;Salón 503;16;503;;;;;;;;;
;Salón 504;20;504;;;;;;;;;
;Salón 505;13;505;;;;;;;;;
;Laboratorio Multifuncional 509;30;MULTI1;Solo Enfermeria;;;;;;;;
;Salón 510;15;510;;;;;;;;;
;Salón 511;21;511;Enfermeria;;;;;;;;
Piso 6;Sala De Sistemas 602 Soft;18;INF 602;;;;;;;;;
;Salón 603;18;603;;;;;;;;;
;Salón 604;19;604;;;;;;;;;
;Salón 605;15;605;;;;;;;;;
;Laboratorio Nohelia 609;40;NOHE;Solo Enfermeria;;;;;;;;
;Salón 610;25;610;Solo Enfermeria;;;;;;;;
Piso 7;Salón 702;25;702;Enfermeria;;;;;;;;
;Salón 703;30;703;Enfermeria;;;;;;;;
;Biblioteca - Sala De Sistemas 708;7;INF 708;;;;;;;;;
Piso 8;Salón 801;25;801;Mesa y bar;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
