PLANTA;NOMBRE DE SALÓN;CAPACIDAD;IDENTIFICADOR UXII;OBSERVACIONES;;;;;;
Piso 1;LABORATORIO DE YESOS 1-101-SEDE SUR;25;YESOS 1;"Ventilador 
Horno microondas (1)";;PISO 1;10;; TOTAL ESPACIOS ; # 
Piso 1;LABORATORIO DE YESOS 2-102-SEDE SUR;10;YESOS 2;"Unidad dental - Salud Oral 
Ventilador";;Laboratorios Salud;8;;Laboratorios de Sistemas;6
Piso 1;SALON 103-SEDE SUR;25;103;Video beam;;Salon;1;;Laboratorios Enfermería;4
Piso 1;LABORATORIO DE MOTORES 1-104-SEDE SUR;25;MOTORES 1;"Laboratorio de Yesos 
Video beam
Lavamanos
Ventilador";;Gimnasio;1;;Laboratorios Hospitalidad;8
Piso 1;LABORATORIO DE MOTORES 2-105-SEDE SUR;36;MOTORES 2;"Salón Normal
Video beam  
Ventilador";;PISO 2;10;;Laboratorios Salud;8
Piso 1;LABORATORIO DE MOTORES 3-106-SEDE SUR;15;MOTORES 3;"Salón - Primera Infancia
Ventilador";;Laboratorios Enfermería;4;;Gimnasio;1
Piso 1;LABORATORIO DE YESOS 3-107-SEDE SUR;25;YESOS 3;"Video Beam
Lavamanos
Horno microondas (1)";;Laboratorios Hospitalidad;6;;Salon;13
Piso 1;LABORATORIO DE COLADOS-108-SEDE SUR;35;COLADOS;Lavamanos;;PISO 3;8;;40;
Piso 1;LABORATORIO DE CERAMICA-109-SEDE SUR;25;CERAMICA;"Computador 
(pantalla- cpu -mouse)";;Laboratorios Hospitalidad;1;;;
Piso 1;GIMNASIO-SEDE SUR;15;GYM;;;Salon;2;;;
Piso 2;COCINA 4-201-SEDE SUR;25;COC 4;;;Laboratorios de Sistemas;5;;;
Piso 2;REPOSTERIA 2-202-SEDE SUR;25;REP 2;;;PISO 4;11;;;
Piso 2;COCINA 3-203-SEDE SUR;30;COC 3;;;Laboratorios Hospitalidad;1;;;
Piso 2;COCINA 2-204-SEDE SUR;30;COC 2;;;Salon;10;;;
Piso 2;REPOSTERIA 1-205-SEDE SUR;35;REP 1;;;;;;;
Piso 2;COCINA 1-206-SEDE SUR;30;COC 1;Televisor;;;;;;
Piso 2;SALON DE ENFERMERIA 1-207-SEDE SUR;30;ENFE 1;"Televisor
Simulador (Muñeco)
Ventilador";;;;;;
Piso 2;SALON DE ENFERMERIA 2-208-SEDE SUR;30;ENFE 2;"Video beam
Simulador MARIA JOSE
Baño
Ventilador (2)";;;;;;
Piso 2;SALON DE ENFERMERIA 3-209-SEDE SUR;20;ENFE 3;"Laboratorio de CIRUGIA
Video beam  
Lavamanos
Ventilador";;;;;;
Piso 2;SALON DE ENFERMERIA 4-210-SEDE SUR;40;ENFE 4;"Televisor
Simulador NOHELIA
Lavamanos
Ventilador (2)";;;;;;
Piso 3;MESA Y BAR 1-301-SEDE SUR;25;MYB 1;"Video beam
Lavamanos";;;;;;
Piso 3;SALON 302-SEDE SUR;14;302;Video beam;;;;;;
Piso 3;SALON 303-SEDE SUR;12;303;;;;;;;
Piso 3;SALA DE SISTEMAS 1 - 304 - SEDE SUR;20;INF 1;"Sala de SOFTWARE  
17 Portatiles
Video beam";;;;;;
Piso 3;SALA DE SISTEMAS 2 - 305 - SEDE SUR;22;INF 2;"Sala de SOFTWARE
21 Portatiles + 1 Docente";;;;;;
Piso 3;SALA DE SISTEMAS 3 - 306 - SEDE SUR;27;INF 3;"Sala de SOFTWARE
Video beam
22 Portatiles
5 Todo en uno";;;;;;
Piso 3;SALA DE SISTEMAS 4 - 307 - SEDE SUR;20;INF 4;"Video beam
17 Todo en uno + 1 Docente";;;;;;
Piso 3;SALA DE SISTEMAS 5 - 308 - SEDE SUR;16;INF 5;"Sala de SOFTWARE
Televisor
Video beam
Camara
3 Todo en uno + 1 Docente
12 Portatil
Ventilador";;;;;;
Piso 3;SALA DE SISTEMAS 6-309-SEDE SUR;12;INF 6;"Video beam
12 Todo en uno
Bodega Uniformes SAC";;;;;;
Piso 4;MESA Y BAR 2-401-SEDE SUR;21;MYB 2;Video beam;;;;;;
Piso 4;SALON 402-SEDE SUR;30;402;"Video beam
Camilla
Mueble Insumos Enfermeria (1)";;;;;;
Piso 4;SALON 403-SEDE SUR;30;403;"Video beam
Mueble Insumos Enfermeria (1)";;;;;;
Piso 4;SALON 404-SEDE SUR;30;404;Video beam;;;;;;
Piso 4;SALON 405-SEDE SUR;20;405;"Sala de Sistemas Ingles
Video beam 
20 portatiles";;;;;;
Piso 4;SALON 406-SEDE SUR;35;406;Video beam;;;;;;
Piso 4;SALON 407-SEDE SUR;35;407;"Video beam
Camara";;;;;;
Piso 4;SALON 408-SEDE SUR;35;408;Video beam;;;;;;
Piso 4;SALON 409-SEDE SUR;40;409;Video beam;;;;;;
Piso 4;MESA Y BAR 3-410 -SEDE SUR;25;MYB 3;"Camara
Video beam
1 Todo en uno 
Lavamanos
Mueble Insumos Hospitalidad
MESA Y BAR 3 - compartido entre jefe de cocina y sac
Diplomado los Sabados, No asignar el viernes en la noche
Asignar ingles";;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;; ;;;;
